INAME	GENE	CHROMO	HongGuo SK1 mitosis MycMcd1 ChIP +NZ 	HongGuo SK1 mitosis NZ MycMcd1p ChIP
YER076C		5	  1.01	  0.90
iHx073I		8	  0.78	  0.84
iDx150I		4	  1.31	  1.48
YOL088C	MPD2	15	  0.63	  0.76
YKL165C	MCD4	11	  1.10	  1.01
YGL242C		7	  0.68	  0.67
iHx139I		8	  0.98	  0.90
iDx216I		4	  0.64	  0.56
YBR110W	ALG1	2	  0.94	  0.92
iNx245I		14	  1.49	  1.61
iJx322I		10	  0.52	
YPR062W	FCY1	16	  0.78	  0.72
iCx193I		3	  1.30	  1.33
YPL045W	VPS16	16	  0.67	  0.62
iMx288I		13	  0.62	  0.59
YFR034C	PHO4	6	  0.46	  0.39
YEL059W		5	  1.06	  1.07
YBR111C	YSA1	2	  1.23	  1.31
iOx471I		15	  1.48	  1.54
iIx031I		9	  0.53	  0.62
YFL017C	GNA1	6	  0.88	  0.83
YPR063C		16	  0.68	  0.65
YPL046C	ELC1	16	  0.61	  0.59
iOx537I		15	  0.97	  0.76
iOx203I		15	  2.09	  2.84
iDx485I		4	  1.04	  1.01
YER077C		5	  0.81	  0.74
iHx074I		8	  0.49	  0.50
iDx151I		4	  0.69	  0.61
iNx180I		14	  0.80	  0.73
YOL089C	HAL9	15	  1.59	  1.55
YKL166C	TPK3	11	  0.93	  1.00
iDx217I		4	  0.79	
iNx246I		14	  0.69	  0.61
iJx323I		10	  0.80	  0.72
YLR140W		12	  1.04	  1.02
YPR129W	SCD6	16	  0.64	  0.65
YLR206W	ENT2	12	  0.78	  0.65
iMx289I		13	  0.58	  0.51
YFR035C		6	  0.72	  0.55
YBR112C	CYC8	2	  0.86	  0.89
iOx472I		15	  0.75	  0.64
iIx032I		9	  0.91	  0.82
YGR260W		7	  1.21	  1.25
YFL018C	LPD1	6	  0.85	  0.97
YGL243W	TAD1	7	  0.85	  0.84
iOx538I		15	  0.61	  0.66
iOx204I		15	  1.58	  1.68
iDx486I		4	  0.87	  1.00
YER078C		5	  0.68	  0.69
iDx152I		4	  0.69	  0.54
iHx075I		8	  0.72	  0.64
YGR261C	APL6	7	  1.49	  1.51
iNx181I		14	  1.35	
YKL167C	MRP49	11	  0.96	  0.86
iDx218I		4	  0.90	  0.93
iNx247I		14	  0.49	  0.45
iJx324I		10	  0.78	
iPx430I		16	  1.64	  1.61
YPR064W		16	  0.69	  0.62
YLR141W	RRN5	12	  1.06	  1.01
iCx195I		3	  1.20	  1.15
YPL047W		16	  0.70	  0.62
YLR207W				  0.78
YBL030C	PET9	2	  0.94	  0.82
iOx473I		15	  0.69	  0.79
iIx033I		9	  0.43	  0.44
iEx110I		5	  2.14	  2.40
YFL019C		6	  1.35	  1.83
YGL244W	RTF1	7	  0.75	  0.69
iOx539I		15	  1.19	  1.24
iOx205I		15	  1.39	  1.43
iDx487I		4	  2.23	  2.17
iHx076I		8	  1.26	  1.43
iDx153I		4	  0.97	  0.86
YGR262C		7	  0.71	  0.73
iNx182I		14	  1.38	  1.11
YKL168C	KKQ8	11	  2.02	  1.89
iDx219I		4	  0.75	  0.82
YBR113W		2	  0.63	  0.73
iNx248I		14	  0.47	  0.50
iJx325I		10	  0.95	  0.92
YFR036W	CDC26	6	  0.88	  0.89
iPx431I		16	  1.19	  1.31
YPR065W	ROX1	16	  0.73	  0.74
YLR142W	PUT1	12	  0.85	  0.84
iCx196I		3	  1.15	  1.17
YPL048W	CAM1	16	  0.50	  0.47
YLR208W	SEC13	12	  0.90	  0.91
YER079W		5	  0.71	  0.58
YFR037C	RSC8	6	  0.65	  0.64
YLL060C	GTT2	12	  0.87	  0.85
iIx034I		9	  1.64	  1.84
iEx111I		5	  1.41	  1.33
iOx474I		15	  1.06	  0.96
YGL245W		7	  0.59	  0.59
iOx140I		15	  0.57	  0.47
YPL049C	DIG1	16	  0.56	  0.47
YLR209C		12	  1.20	  1.09
iOx206I		15	  1.28	  1.28
iDx488I		4	  0.53	  0.56
YMR100W	MUB1	13	  0.94	  0.98
iHx077I		8	  1.16	  1.25
iDx154I		4	  0.91	  0.88
YGR263C		7	  0.86	  0.85
iNx183I		14	  0.38	  0.39
iJx260I		10	  1.19	  1.28
YKL169C		11	  1.89	  1.91
YGL246C	RAI1	7	  0.68	  0.47
YBL031W	SHE1	2	  1.21	  1.12
YBR114W	RAD16	2	  0.90	  0.83
iNx249I		14	  0.63	  0.66
iJx326I		10	  0.60	  0.64
iPx432I		16	  0.89	  0.82
YPR066W	UBA3	16	  1.12	  0.87
YLR143W		12	  1.62	  1.62
YMR101C	SRT1	13	  3.14	  3.36
iCx197I		3	  1.08	  1.06
YGL180W	APG1	7	  0.95	  0.85
YBR115C	LYS2	2	  1.00	  1.01
iIx035I				  0.63
iEx112I				  1.49
iOx475I		15	  0.64	  0.70
YLR144C	ACF2	12	  1.28	  1.34
iOx141I		15	  0.35	  0.34
YNL310C		14	  0.76	  0.61
iOx207I		15	  1.26	  1.35
iDx489I		4	  0.63	  0.69
iHx078I		8	  2.23	  2.14
iDx155I		4	  0.69	  0.53
YGR264C	MES1	7	  0.63	  0.69
iNx184I		14	  0.65	  0.58
iJx261I		10	  1.41	  1.38
YBL032W		2	  0.70	  0.65
iJx327I		10	  0.53	  0.47
YLL061W	MMP1	12	  0.89	  1.00
YFR038W		6	  0.75	  0.71
iLx510I		12	  0.87	  0.73
iPx433I		16	  0.97	  0.92
YPR067W	ISA2	16	  1.48	  1.29
YMR102C		13	  1.01	  1.02
iCx198I		3	  0.97	
YBR050C	REG2	2	  0.65	  0.55
YBL033C	RIB1	2	  0.63	  0.70
YGL181W	GTS1	7	  0.62	  0.50
YBR116C				  0.54
YFR039C		6	  0.91	  1.00
YLL062C		12	  0.70	  0.65
iOx476I		15	  1.31	  1.37
iIx036I		9	  0.68	  0.65
iEx113I		5	  1.31	  1.11
YPR068C	HOS1	16	  1.13	  1.30
YGL247W		7	  0.67	  0.60
iOx142I		15	  0.50	  0.64
YNL311C		14	  0.79	  0.84
iOx208I		15	  1.58	  1.75
iDx090I		4	  0.56	  0.84
YGL182C		7	  0.57	  0.50
iHx079I		8	  1.05	  1.15
iDx156I		4	  1.17	  0.94
iNx185I		14	  0.83	  0.64
iJx262I		10	  0.86	  0.79
iJx328I		10	  1.91	  1.71
iPx434I		16	  0.71	  0.56
iLx511I		12	  0.73	
YLR145W		12	  0.62	  0.63
YMR103C		13	  0.89	  0.81
iCx199I		3	  1.09	  1.18
iPx100I		16	  0.58	  0.61
YBL034C	STU1	2	  0.78	  0.78
YBR117C	TKL2	2	  0.47	  0.46
YLL063C	AYT1	12	  0.73	  0.82
iOx477I		15	  0.70	  0.64
iIx037I		9	  1.69	  1.87
iEx114I		5	  1.47	  1.54
YGR265W		7	  0.65	  0.62
YPR069C	SPE3	16	  0.81	  0.78
YLR146C	SPE4	12	  1.56	  1.52
YDR300C	PRO1	4	  0.65	  0.67
YGL248W	PDE1	7	  0.82	  0.69
iOx143I		15	  0.54	  0.51
iKx220I		11	  0.81	  0.89
iOx209I		15	  1.26	  1.25
YML020W		13	  1.01	  0.87
iDx091I				  0.83
YGL183C		7	  0.56	  0.49
iDx157I		4	  1.11	  1.12
YBR051W		2	  0.67	  0.67
iNx186I		14	  1.85	  1.41
iJx263I		10	  0.69	  0.74
YLR080W		12	  1.57	  1.59
iJx329I		10	  0.72	  0.63
YML021C	UNG1	13	  0.90	  0.87
iPx435I		16	  1.17	  1.13
iLx512I		12	  1.18	  1.15
YMR104C	YPK2	13	  0.49	  0.49
iPx101I		16	  1.01	  1.03
YNL312W	RFA2	14	  1.04	  1.01
YBR052C		2	  0.73	  0.70
YBL035C	POL12	2	  1.11	  1.18
YLL064C		12	  1.49	  1.58
iIx038I				  1.22
iOx478I		15	  1.17	  1.06
iEx115I		5	  1.21	  1.13
YGR266W		7	  0.64	  0.68
YLR147C	SMD3	12	  2.20	  1.90
YGL249W	ZIP2	7	  0.92	  0.93
iOx144I		15	  0.78	  0.78
iKx221I		11	  0.85	  0.84
YNL313C		14	  0.87	  0.87
iDx092I		4	  0.55	  0.58
YGL184C		7	  0.60	  0.47
iDx158I		4	  1.19	  1.23
YGR267C	FOL2	7	  0.73	  0.58
iNx187I		14	  2.70	  2.70
iJx264I		10	  1.01	  1.12
YCR010C		3	  3.39	  3.81
iPx370I		16	  1.42	  1.55
YLR081W	GAL2	12	  1.35	  1.30
YBR118W	TEF2	2	  0.62	  0.57
YDR301W	CFT1	4	  0.86	  1.13
iPx436I		16	  1.28	  1.21
iLx513I		12	  0.63	  0.58
YMR105C	PGM2	13	  0.66	  0.63
iPx102I		16	  1.07	  1.00
YBR053C		2	  1.24	  1.18
iEx050I		5	  0.94	  0.80
YBL036C		2	  1.86	  1.97
YLR082C	SRL2	12	  1.03	  1.09
iOx479I		15	  0.59	  0.49
iIx039I		9	  0.62	  0.66
iEx116I		5	  0.92	  0.87
iKx222I		11	  4.23	  4.03
iOx145I		15	  0.98	  1.15
YML022W	APT1	13	  0.81	  0.76
iDx093I		4	  1.19	  0.83
YGL185C		7	  0.55	  0.50
iDx159I		4	  1.07	  0.97
YGR268C		7	  0.57	  0.49
iNx188I		14	  0.52	  0.48
iJx265I		10	  0.80	  0.75
YCR011C	ADP1	3	  1.97	  2.21
iPx371I		16	  0.84	  0.67
YBR119W	MUD1	2	  3.19	  2.94
YLL065W	GIN11	12	  1.48	  1.60
YML023C		13	  1.72	  1.55
YDR302W		4	  1.82	  1.80
iPx437I		16	  0.64	  0.71
iLx514I		12	  0.56	  0.46
YLR148W	PEP3	12	  0.92	  0.86
YFR031C-A	RPL2A	6	  1.05	  1.02
YMR106C	YKU80	13	  0.57	  0.43
iPx103I		16	  1.06	  1.07
YNL314W	DAL82	14	  1.24	  1.20
iEx051I		5	  0.59	  0.48
YLR083C	EMP70	12	  0.78	  0.76
YHR160C	PEX18	8	  0.72	  0.68
iOx080I		15	  0.70	  0.69
YLL066C		12	  1.34	  1.43
YDL220C	CDC13	4	  1.31	  1.17
iEx117I		5	  1.86	  1.77
YLR149C		12	  0.89	  0.88
YDR303C		4	  1.28	  1.38
iOx146I		15	  0.90	  0.76
iKx223I		11	  1.50	  1.65
iGx300I		7	  1.74	  1.68
YNL315C	ATP11	14	  1.05	  1.06
YMR040W		13	  0.50	  0.63
YIL100W		9	  1.07	  1.07
iDx094I		4	  0.41	  0.53
YGL186C		7	  0.51	  0.54
YBR054W	YRO2	2	  1.26	  1.23
iNx189I		14	  1.41	  1.20
iJx266I		10	  0.90	  1.06
iBx420I		2	  1.46	
YBL037W	APL3	2	  1.77	  2.05
iPx372I				  0.55
YMR041C		13	  0.69	  0.68
YIL101C	XBP1	9	  1.31	  1.39
iPx438I		16	  0.70	  0.68
iLx515I		12	  1.40	  1.54
iPx104I		16	  0.59	  0.57
YBR055C	PRP6	2	  0.79	  0.82
iEx052I		5	  0.99	  0.93
YLR084C	RAX2	12	  0.69	  0.68
YHR161C	YAP1801	8	  0.90	  0.88
iOx081I		15	  0.61	  0.66
YLL067C		12	  1.41	  1.44
iEx118I		5	  1.31	  1.15
YGR269W		7	  0.41	  0.41
YDR304C	CYP5	4	  0.69	  0.71
YCR012W	PGK1	3	  1.03	  1.05
iOx147I		15	  1.13	  0.98
iKx224I		11	  0.58	  0.58
iGx301I		7	  1.23	  1.30
YNL316C	PHA2	14	  1.30	  1.43
YML024W	RPS17A	13	  0.86	  0.99
iDx095I		4	  0.53	  0.57
YMR107W		13	  0.54	  0.59
YGL187C	COX4	7	  0.41	  0.47
iJx267I		10	  1.40	  1.42
iBx421I		2	  0.69	  0.66
YCR013C		3	  1.52	  1.48
YBL038W	MRPL16	2	  0.45	  0.44
iPx373I				  0.91
iFx010I		6	  1.18	  1.14
iLx450I		12	  0.64	  0.60
YDL221W		4	  2.92	  2.89
YML025C		13	  0.74	  0.63
YIL102C		9	  0.90	  0.75
iPx439I		16	  0.68	  0.53
iLx516I		12	  1.06	  1.13
YNL250W	RAD50	14	  0.82	  0.81
iPx105I		16	  0.89	  0.70
iAx130I		1	  0.81	  0.94
iGx570I		7	  0.90	  1.13
iEx053I		5	  0.69	  0.51
YBL039C	URA7	2	  0.81	  0.92
YLR085C	ARP6	12	  0.51	  0.45
iOx082I		15	  0.64	  0.61
YDL222C		4	  1.61	  1.58
iEx119I		5	  1.04	  1.04
YDR305C	HNT2	4	  0.60	  0.55
YNL251C	NRD1	14	  0.62	  0.63
iOx148I		15	  1.17	  0.98
iKx225I		11	  0.63	  0.68
iGx302I		7	  1.26	  1.37
YMR042W	ARG80	13	  0.58	  0.66
iDx096I		4	  0.54	  0.69
YMR108W	ILV2	13	  0.66	  0.56
YGL188C		7	  0.80	  0.82
YBR056W		2	  1.06	  0.95
iJx268I		10	  1.19	  1.02
iBx422I		2	  0.63	  0.79
YCR014C	POL4	3	  2.80	  3.31
iPx374I		16	  1.25	  1.36
iLx451I		12	  0.39	  0.44
iFx011I		6	  0.89	  1.03
YHR162W		8	  1.06	  0.96
iPx040I		16	  0.64	  0.59
YML026C	RPS18B	13	  0.85	  0.85
iLx517I		12	  1.32	  1.61
iPx106I		16	  0.78	  0.82
YNL317W	PFS2	14	  1.38	  1.41
YBR057C	MUM2	2	  1.26	  1.27
iGx571I		7	  1.23	  1.10
iEx054I		5	  0.84	  0.68
iAx131I		1	  0.83	  0.83
YDR240C	SNU56	4	  0.58	  0.52
iOx083I		15	  0.71	
iKx160I		11	  0.94	  0.99
YDL223C		4	  1.05	  1.01
YDR306C		4	  0.86	  0.91
YNL252C	MRPL17	14	  1.31	  1.26
iOx149I		15	  1.53	
iKx226I		11	  0.88	  0.80
iGx303I		7	  1.14	  1.20
YAL034W-A				  5.16
YMR172C-A		13	  0.79	  0.72
YNL318C	HXT14	14	  1.19	  1.34
YMR043W	MCM1	13	  0.80	  0.72
YNR001C	CIT1	14	  9.69	 10.59
YIL103W		9	  0.42	  0.42
iDx097I		4	  0.77	  0.72
YMR109W	MYO5	13	  3.59	  4.49
YGL189C	RPS26A	7	  1.55	  1.28
iJx269I		10	  0.95	
iBx423I		2	  1.19	  1.14
YCR015C		3	  1.30	  1.26
iLx452I		12	  0.65	  0.68
iFx012I		6	  0.77	  0.72
iPx375I		16	  2.07	  1.32
YLR086W	SMC4	12	  1.01	  0.98
YHR163W	SOL3	8	  0.48	  0.51
iPx041I		16	  0.54	  0.68
YIL104C		9	  0.95	  0.81
iLx518I		12	  0.61	  0.54
iPx107I		16	  0.70	  0.76
YBR058C	UBP14	2	  0.77	  0.72
iGx572I		7	  1.24	  1.01
iEx055I		5	  0.58	
iAx132I		1	  0.96	  0.98
YLR087C		12	  0.92	  0.91
YHR164C	DNA2	8	  0.63	  0.63
iOx084I		15	  0.87	  0.73
iKx161I		11	  1.28	  1.50
YDL224C	WHI4	4	  1.98	  2.22
iKx227I		11	  1.87	  2.37
iGx304I		7	  1.31	  1.11
iMx410I		13	  0.59	  0.63
YMR044W		13	  1.38	  1.64
YNR002C	FUN34	14	  3.37	  3.68
iDx098I		4	  1.33	  1.42
YML027W	YOX1	13	  2.39	  2.39
iBx424I		2	  1.08	  1.09
YDR241W		4	  0.96	  0.87
iPx376I		16	  0.96	  0.98
iLx453I		12	  0.30	  0.32
YMR045C		13	  1.65	  1.62
iPx042I		16	  0.67	  0.63
YIL105C		9	  0.84	  0.89
iLx519I		12	  0.93	  0.99
YDR307W		4	  0.96	  0.99
YNL253W		14	  1.29	  1.23
iPx108I		16	  0.60	  0.52
YNL319W		14	  1.21	  1.10
YBR059C	AKL1	2	  0.85	  0.77
iGx573I		7	  1.20	  1.27
iEx056I		5	  1.07	
iAx133I		1	  0.88	  0.96
YHR165C	PRP8	8	  0.66	  0.63
iOx085I		15	  0.56	  0.63
iKx162I		11	  0.53	  0.45
YDR308C				  1.34
YNL254C		14	  0.51	  0.48
YCR016W		3	  2.35	  2.11
iKx228I		11	  2.50	  2.72
iGx305I		7	  1.01	  0.94
iMx411I		13	  0.54	  0.58
YNR003C	RPC34	14	  3.42	  3.47
iDx099I		4	  0.90	  0.76
YML028W	TSA1	13	  0.84	  0.94
iBx425I		2	  0.74	  0.77
YCR017C		3	  1.03	  1.10
YDR242W	AMD2	4	  0.88	  0.86
iPx377I		16	  1.70	  1.94
iLx454I		12	  1.68	  1.37
iFx014I		6	  1.18	  1.24
YLR088W	GAA1	12	  1.00	  0.99
YMR046C		13	  0.96	  1.19
YDL225W	SHS1	4	  2.19	
iPx043I		16	  0.44	  0.46
iLx120I		12	  0.84	  0.64
iPx109I		16	  0.35	  0.32
YDL160C	DHH1	4	  0.72	  0.68
iGx574I		7	  1.36	  1.38
iEx057I		5	  1.10	  1.22
iAx134I		1	  1.49	  1.42
YLR089C		12	  0.96	  0.89
YHR166C	CDC23	8	  0.84	  0.85
YDR243C	PRP28	4	  0.79	  0.79
iOx086I		15	  0.64	  0.64
iKx163I		11	  0.68	  0.80
iGx240I		7	  0.69	  0.70
YDL226C	GCS1	4	  0.80	  0.81
YDR309C	GIC2	4	  0.69	  0.72
YNL255C	GIS2	14	  1.08	  0.93
iKx229I		11	  1.01	  1.13
iGx306I		7	  3.34	  4.59
YIL040W		9	  0.62	  0.52
iMx412I		13	  1.53	
YIL106W	MOB1	9	  1.45	  1.49
YML029W		13	  0.75	  0.66
iBx360I		2	  1.35	  1.26
iBx426I		2	  0.72	  0.76
YCR018C	SRD1	3	  1.02	  1.17
iPx378I				  2.19
iLx455I		12	  1.05	  1.11
iFx015I		6	  1.20	  1.34
YMR047C	NUP116	13	  1.24	  1.08
iPx044I		16	  0.56	  0.59
iLx121I		12	  0.41	  0.38
YIL107C	PFK26	9	  0.85	  0.91
YNR004W		14	  1.78	  1.78
iGx575I		7	  0.73	  0.68
iEx058I		5	  0.86	  0.90
iOx087I		15	  0.65	  0.65
iKx164I		11	  1.00	  1.05
iGx241I		7	  0.97	  1.00
YDL227C	HO	4	  1.11	  1.37
iGx307I		7	  1.65	  1.81
YIL041W		9	  0.80	  0.76
iMx413I		13	  2.39	  2.86
YNR005C		14	  2.40	  2.34
YOR230W	WTM1	15	  0.59	  0.64
iBx361I		2	  0.44	  0.43
iLx390I		12	  0.69	  0.56
iBx427I		2	  1.37	  1.40
YDL161W	ENT1	4	  1.62	  1.48
YIL042C		9	  0.49	  0.52
iPx379I		16	  0.55	  0.54
iLx456I		12	  0.85	  0.98
iFx016I		6	  1.04	  1.10
iDx610I		4	  0.77	  0.86
YHR167W		8	  1.09	  1.08
YDR244W	PEX5	4	  0.80	  0.96
YNL190W		14	  0.98	  0.95
iPx045I		16	  0.81	  0.93
iLx122I		12	  0.48	  0.48
YNL256W	FOL1	14	  1.07	  1.10
iAx070I		1	  2.41	  3.01
YDL162C		4	  0.87	  0.65
iGx576I		7	  0.73	  0.79
iEx059I		5	  0.64	  0.68
iOx088I		15	  0.60	  0.57
iKx165I		11	  0.89	  0.84
iGx242I		7	  0.89	  0.88
YDL228C		4	  0.79	  0.92
YNL257C	SIP3	14	  0.58	  0.59
YCR019W	MAK32	3	  1.02	  0.94
iGx308I				  2.58
iMx414I		13	  0.76	  0.89
YMR048W		13	  0.92	  1.03
YIL108W		9	  1.06	  1.05
YOR231W	MKK1	15	  0.63	  0.63
iBx362I		2	  0.66	  0.67
iBx428I		2	  0.59	  0.64
YIL043C	CBR1	9	  0.70	  0.71
iFx017I		6	  0.79	  0.76
iDx611I		4	  2.08	  2.05
iLx457I		12	  1.92	  1.65
YHR168W		8	  1.86	  2.22
YDR245W	MNN10	4	  0.71	  0.65
YNL191W		14	  0.59	  0.58
YMR049C		13	  0.59	  0.56
iPx046I		16	  0.48	  0.53
iLx123I		12	  1.02	  1.24
iHx200I		8	  0.88	  0.81
YIL109C	SEC24	9	  0.83	  0.84
iAx071I		1	  1.86	  2.13
YNR006W	VPS27	14	  4.80	  4.57
iGx577I		7	  0.78	  0.86
YAL043C-A		1	  0.83	  0.72
iOx089I		15	  2.08	  2.26
iKx166I		11	  0.71	  0.63
iGx243I		7	  1.37	  1.37
YNL258C		14	  1.09	  1.23
iGx309I		7	  0.90	  0.83
iMx415I		13	  0.86	  0.82
YNR007C	AUT1	14	  5.96	  6.03
YOR232W	MGE1	15	  0.66	  0.63
iBx363I		2	  0.90	  0.86
YDR180W	SCC2	4	  1.62	  1.67
iLx392I		12	  0.75	  0.73
iBx429I		2	  1.08	  1.21
YDL163W		4	  0.84	  0.74
YIL044C		9	  0.94	  0.92
iDx612I				  0.63
iLx458I		12	  0.34	  0.35
iFx018I		6	  0.74	  1.63
YHR169W	DBP8	8	  1.41	  1.91
YDR246W	TRS23	4	  0.52	  0.44
YNL192W	CHS1	14	  0.52	  0.56
YDL229W	SSB1	4	  0.98	  1.00
YOL150C		15	  0.79	
iPx047I		16	  2.58	  2.99
iLx124I		12	  1.08	  0.91
iHx201I		8	  0.93	  0.96
YJL001W	PRE3	10	  7.67	  8.95
iAx072I		1	  2.24	  2.42
YDR181C	SAS4	4	  1.27	  1.23
YDL164C	CDC9	4	  0.69	  0.70
iGx578I		7	  1.36	  1.60
iKx167I		11	  2.36	  2.20
iGx244I		7	  0.69	  0.66
iMx350I		13	  1.63	  1.24
YNL259C	ATX1	14	  1.36	  1.35
YJL002C	OST1	10	  6.88	  6.36
iMx416I		13	  2.44	  2.10
YOR233W	KIN4	15	  1.92	  2.00
iBx364I		2	  1.16	  1.12
iBx030I		2	  0.86	  0.89
iLx393I		12	  1.17	
iLx459I		12	  1.07	  0.83
iFx019I		6	  0.63	  0.73
iDx613I		4	  1.10	  1.11
YDR247W		4	  0.99	  1.00
YNL193W		14	  0.41	  0.41
iPx048I		16	  0.84	  0.87
iLx125I		12	  0.63	  0.67
iHx202I		8	  1.25	  1.14
YOR234C	RPL33B	15	  1.43	
iAx073I		1	  1.96	  2.48
YNR008W	LRO1	14	  4.09	  4.38
iGx579I		7	  0.85	  0.79
YDR248C		4	  0.97	  0.99
YNL194C		14	  0.55	  0.55
iKx168I		11	  0.87	  0.84
iGx245I		7	  0.84	  0.92
iMx351I		13	  0.69	  0.81
YIL045W	PIG2	9	  1.04	  1.17
iMx417I		13	  0.59	  0.62
YOL151W	GRE2	15	  0.92	  0.90
iOx600I		15	  1.53	  1.57
iBx365I		2	  1.03	  0.94
iLx394I		12	  1.06	  1.05
iBx031I		2	  1.41	  1.30
YDR182W	CDC1	4	  0.82	  0.78
YDL165W	CDC36	4	  0.77	  0.71
iLx060I		12	  0.88	  0.77
iDx614I		4	  1.87	  1.93
iLx126I				  0.50
iPx049I		16	  0.64	
