INAME	GENE	CHROMO	SIMR_UP2_226	SIMR_UP2_187FR
YER079W			0.66	1.78
YFR037C	RSC8		0.71	1.69
YLL060C	GTT2		0.5	1.71
iOx474I			0.85	1.2
iEx111I			1.34	0.53
iIx034I			2.15	0.41
YGL245W			0.54	2
iOx140I			0.65	1.1
YPL049C	DIG1		0.49	1.77
YLR209C			1.25	0.92
iOx206I			1.48	0.8
iDx488I			0.62	1.85
YMR100W	MUB1		1.65	0.73
iHx077I			0.86	0.81
iDx154I			0.78	1.05
YGR263C			0.69	1.58
iNx183I			0.44	1.8
iJx260I			1.08	0.7
YKL169C			3.61	0.32
YGL246C	RAI1		0.7	1.19
YBL031W	SHE1		1.49	0.59
YBR114W	RAD16		1.03	0.78
iNx249I			0.62	
iJx326I			0.54	1.31
iPx432I			0.8	1.03
YPR066W	UBA3		1.03	1.02
YLR143W			2.23	0.5
YMR101C	SRT1		2.72	0.25
iCx197I			0.97	0.69
YGL180W	APG1		1.13	0.91
YBR115C	LYS2		1.32	
iOx475I			0.87	1.21
iIx035I			0.54	1.63
iEx112I			1.77	0.49
YLR144C	ACF2		1.99	0.63
iOx141I			0.49	1.77
YNL310C			0.75	1.59
iOx207I			1.33	0.66
iDx489I			0.64	1.66
iHx078I			1.52	0.41
iDx155I			0.5	1.64
YGR264C	MES1		0.69	1.61
iNx184I			0.41	1.79
iJx261I			0.89	0.95
YBL032W			0.64	1.32
iJx327I			0.47	1.93
YLL061W	MMP1		0.75	1.69
YFR038W			1.35	0.87
iPx433I			0.57	1.46
iLx510I			0.65	1.36
YPR067W	ISA2		1.78	0.59
YMR102C			1.57	0.64
iCx198I			1.42	0.74
YBR050C	REG2		0.65	1.47
YBL033C	RIB1		0.45	1.43
YGL181W	GTS1		0.52	1.76
YFR039C			1.62	0.81
YBR116C			0.45	1.98
YLL062C			0.63	1.65
iOx476I			2.26	0.39
iIx036I			0.67	1.31
iEx113I			0.7	1.41
YPR068C	HOS1		1.81	0.66
YGL247W			1.21	0.94
iOx142I			0.44	1.68
YNL311C			1.08	1.02
iOx208I			1.69	0.61
iDx090I			0.69	1.47
YGL182C			0.46	1.89
iHx079I			1.25	0.66
iDx156I			1.02	0.89
iNx185I			0.72	1.26
iJx262I			0.73	1.14
iJx328I			3.99	0.25
iPx434I			0.52	1.57
iLx511I			0.55	1.06
YLR145W			0.81	1.35
YMR103C			0.53	1.6
iCx199I			1.6	0.82
iPx100I			0.67	1.25
YBL034C	STU1		0.64	1.51
YBR117C	TKL2		0.55	2.19
YLL063C	AYT1		1.04	1.25
YGR265W				1.85
iOx477I			0.69	1.61
iIx037I			3	0.42
iEx114I			0.85	0.94
YPR069C	SPE3		0.84	1.46
YLR146C	SPE4		0.67	1.55
YDR300C	PRO1		1.12	1.05
YGL248W	PDE1		0.65	1.6
iKx220I			0.85	1.11
iOx143I			0.41	2
iOx209I			1.04	0.77
YML020W			1.09	0.99
iDx091I				1.07
YGL183C			0.48	1.77
iDx157I			2.28	0.49
YBR051W			0.7	1.44
iNx186I			2.12	0.4
iJx263I			0.58	1.29
YLR080W			2.54	0.44
iJx329I			0.58	1.6
YML021C	UNG1		0.66	1.49
iPx435I			0.75	1.16
iLx512I			1.18	1.2
YMR104C	YPK2		0.5	2
iPx101I			2.4	0.46
YNL312W	RFA2		1.25	1.01
YBR052C			0.61	1.6
YBL035C	POL12		1.23	0.76
YLL064C			2.02	0.83
iOx478I			1.03	0.77
iIx038I			1.25	
iEx115I			0.54	1.68
YGR266W			0.72	1.44
YLR147C	SMD3		0.72	1.4
YGL249W	ZIP2		0.69	1.5
iOx144I			0.61	1.42
iKx221I			0.7	1.63
YNL313C			0.89	1.17
iDx092I			0.62	1.27
YGL184C			0.56	2
iDx158I			2.75	0.37
YGR267C	FOL2		0.76	1.37
iNx187I			2.97	0.35
iJx264I			1.34	0.53
YCR010C			2.38	0.4
iPx370I			1.68	0.5
YLR081W	GAL2		1.28	0.84
YBR118W	TEF2		0.71	1.12
iPx436I			0.56	2.02
iLx513I			0.44	1.29
YMR105C	PGM2		0.53	2.1
iPx102I			2.09	0.44
YBR053C			0.39	2.39
iEx050I			2.09	0.45
YBL036C			3.44	0.29
YLR082C	SRL2		0.92	1.09
iOx479I			0.6	1.83
iIx039I			0.9	1.08
iEx116I			0.54	1.5
iOx145I			0.64	1.11
iKx222I			4.39	0.26
YML022W	APT1		0.75	1.4
iDx093I			0.82	1.12
YGL185C			0.41	2.15
iDx159I			1	
YGR268C			0.55	1.71
iNx188I			0.55	1.75
iJx265I			0.39	1.39
YCR011C	ADP1		1.93	0.61
iPx371I			0.72	0.98
YBR119W	MUD1		3.38	0.34
YLL065W	GIN11		2.18	0.82
YML023C			1.21	1.01
YDR302W			3.02	0.4
iPx437I			1.1	0.84
iLx514I			0.5	2.25
YLR148W	PEP3		1.53	0.79
YFR031C-A	RPL2A		1.16	0.73
YMR106C	YKU80		0.5	2.09
iPx103I			0.92	0.95
YNL314W	DAL82		1.23	0.88
iEx051I			0.86	1.28
YLR083C	EMP70		0.7	1.38
YHR160C	PEX18		1.56	0.69
iOx080I			0.5	0.87
YLL066C			0.96	1.56
YDL220C	CDC13		0.61	1.33
iEx117I			0.95	1.04
YLR149C			2.27	0.57
YDR303C			1.85	0.68
iOx146I			0.54	1.46
iKx223I			2.02	0.56
iGx300I			1.76	0.69
YNL315C	ATP11		1.19	0.88
YMR040W			0.56	1.42
YIL100W			0.51	1.31
iDx094I				0.54
YGL186C			0.49	2.06
YBR054W	YRO2		0.96	0.97
iNx189I			2.16	0.49
iJx266I			0.57	0.63
iBx420I			1.74	0.56
YBL037W	APL3		1.56	
iPx372I			0.55	1.59
YMR041C			0.65	1.59
YIL101C	XBP1		0.98	1.22
iPx438I			0.61	1.5
iLx515I			1.41	0.87
iPx104I			0.55	1.35
iEx052I			0.5	1.95
YLR084C	RAX2		0.56	1.31
iOx081I			0.51	1.76
YLL067C			0.84	1.61
iEx118I			1.03	1.05
YGR269W			0.56	1.53
YDR304C	CYP5		0.63	1.8
YCR012W	PGK1		1.94	0.55
iOx147I			1.36	0.83
iKx224I			0.67	1.49
iGx301I			1.04	0.75
YNL316C	PHA2		2.13	0.32
YML024W	RPS17A		0.91	1.32
iDx095I				1.82
YMR107W			0.39	2.18
YGL187C	COX4		0.47	1.5
iJx267I			1.92	0.58
iBx421I			0.79	1.22
YCR013C			1.9	0.52
YBL038W	MRPL16		0.53	1.58
iLx450I			0.53	1.83
iPx373I			0.8	1.36
iFx010I			1.04	0.91
YDL221W			0.95	1.2
YML025C			0.65	1.8
YIL102C			1.08	1.07
iPx439I			0.88	0.98
iLx516I			1.22	0.69
YNL250W	RAD50		1.32	0.92
iPx105I			0.66	1.25
iAx130I			0.56	1.74
iEx053I			0.71	1.2
YBL039C	URA7		0.6	1.32
YLR085C	ARP6		0.45	2.47
iOx082I			0.58	1.57
YDL222C			1.01	0.99
iEx119I			0.98	0.91
YDR305C	HNT2		0.5	1.76
YNL251C	NRD1		0.59	1.04
iOx148I			1.36	0.65
iKx225I			0.48	1.89
iGx302I			1.17	1.01
YMR042W	ARG80		0.43	1.57
iDx096I			0.55	2.3
YMR108W	ILV2		0.51	1.93
YGL188C			0.49	1.65
YBR056W			0.64	1.1
iJx268I			0.52	1.67
iBx422I			1	0.88
YCR014C	POL4		1.87	0.47
iPx374I			1.34	0.82
iLx451I			0.39	1.92
iFx011I			1.03	0.89
YHR162W			0.92	0.91
iPx040I			0.54	1.62
YML026C	RPS18B		0.95	1.23
iLx517I			1.61	0.46
iPx106I			0.76	1.17
YNL317W	PFS2		2.38	0.49
YBR057C	MUM2		2.1	0.47
iGx571I				0.57
iEx054I			0.66	1.48
iAx131I			0.59	1.53
YDR240C	SNU56		0.57	1.95
iOx083I			0.56	1.72
iKx160I			1.58	0.66
YDL223C			0.93	1.43
YDR306C			0.5	1.6
YNL252C	MRPL17		1.19	0.97
iOx149I			2.77	0.41
iKx226I			0.91	1.2
iGx303I			1.38	0.88
YMR172C-A			0.46	1.77
YAL034W-A	MTW1		4.53	0.24
YNL318C	HXT14		1.59	0.75
YNR001C	CIT1		3	0.32
YIL103W			0.53	2
iDx097I			0.75	1.65
YMR109W	MYO5		1.75	0.39
YGL189C	RPS26A		0.69	1.52
iJx269I			0.68	1.26
iBx423I			2.6	0.44
YCR015C			0.84	1.25
iPx375I			0.96	
iLx452I			0.6	1.29
iFx012I			0.56	1.57
YLR086W	SMC4		1.21	0.81
YHR163W	SOL3		2.53	0.38
iPx041I			0.84	1.37
YIL104C			0.7	1.81
iLx518I			0.62	1.51
iPx107I			0.45	1.86
YBR058C	UBP14		0.63	1.34
iGx572I			1.29	0.96
iEx055I			0.62	1.61
iAx132I			0.61	2.01
YLR087C			1.42	0.57
YHR164C	DNA2		1.32	0.5
iOx084I			0.66	1.47
iKx161I			2.41	0.35
YDL224C	WHI4		2.98	0.38
iKx227I			3.19	0.31
iGx304I			1.04	1.05
iMx410I			0.48	2.29
YMR044W			2.98	0.43
YNR002C	FUN34		1.85	0.52
iDx098I			2.36	0.49
YML027W	YOX1		2.32	0.41
iBx424I			1.62	0.62
YDR241W			1.31	1.11
iPx376I			1.01	0.96
iLx453I			0.35	2.18
iFx013I			0.6	1.42
YMR045C			2.21	0.67
iPx042I			0.49	1.44
YIL105C			0.94	1.08
iLx519I			0.82	1.44
YDR307W			1.74	0.78
YNL253W			0.84	1
iPx108I			0.48	1.7
YNL319W			1.23	0.76
YBR059C	AKL1		0.78	1.29
iGx573I			1.46	0.73
iEx056I			1.39	0.83
iAx133I			0.83	1.38
YHR165C	PRP8		0.95	0.97
iOx085I			0.47	2.01
iKx162I			0.56	1.57
YDR308C	SRB7		2.35	0.5
YNL254C			0.71	1.62
YCR016W			1.94	0.56
iKx228I			3.28	0.38
iGx305I			0.88	1.04
iMx411I			0.56	1.79
YNR003C	RPC34		2.13	0.48
iDx099I			0.63	1.4
YML028W	TSA1		1.12	0.86
iBx425I			0.98	1.3
YDR242W	AMD2		1.08	1.17
iPx377I			2.22	0.33
iLx454I			1.41	0.74
iFx014I			1.18	0.74
YLR088W	GAA1		0.99	1.03
YMR046C			1.12	1.44
YDL225W	SHS1		3.96	0.27
iPx043I			0.44	1.55
iLx120I			0.55	1.76
iPx109I			0.46	1.77
YDL160C	DHH1		0.76	1.49
iAx134I			1.89	0.75
iGx574I			1.67	0.49
iEx057I			2.02	0.51
YLR089C			1.37	0.81
YHR166C	CDC23		0.5	2.31
YDR243C	PRP28		0.88	1.25
iOx086I			0.49	2.01
iKx163I			0.64	1.42
iGx240I			0.53	1.61
YDL226C	GCS1		1.41	0.8
YDR309C	GIC2		1.11	1.14
YNL255C	GIS2		1.15	0.96
iKx229I			0.77	0.91
iGx306I			2.78	0.36
YIL040W			0.77	1.17
iMx412I			2.13	0.44
YIL106W	MOB1		1.06	0.96
YML029W			0.79	1.49
iBx360I			1.33	0.8
iBx426I			0.75	1.56
YCR018C				0.67
iPx378I			2.07	0.35
iLx455I			1.68	0.59
iFx015I			2.19	0.41
YMR047C	NUP116		0.88	1.24
iPx044I			0.67	1.38
iLx121I			0.51	1.73
YIL107C	PFK26		1.24	0.78
YNR004W			1.29	0.69
iGx575I			0.7	1.24
iEx058I			0.84	1.3
iOx087I			0.57	1.54
iKx164I			0.59	1.02
iGx241I			0.63	1.41
iGx307I			2.38	0.4
YIL041W			0.61	1.52
iMx413I			2.99	0.29
YNR005C			1.44	0.59
YOR230W	WTM1		0.57	2.2
iBx361I			0.57	1.42
iLx390I			0.55	1.39
iBx427I			1.69	0.93
YDL161W	ENT1		0.82	1.57
YIL042C			0.56	1.85
iFx016I				1.16
YHR167W				0.82
iPx379I			0.45	1.77
iLx456I			1.57	0.68
iDx610I			2.1	0.52
YDR244W	PEX5		0.62	1.74
YNL190W			0.51	1.92
iPx045I			0.84	0.79
iLx122I			0.52	1.88
YNL256W	FOL1		1	0.9
iAx070I			2.85	0.36
YDL162C			0.6	1.81
iGx576I			0.5	1.83
iEx059I			0.79	1.36
iOx088I			0.58	1.64
iKx165I			0.74	1.4
iGx242I			1.01	0.96
YDL228C			1	0.95
YNL257C	SIP3		0.8	0.79
YCR019W	MAK32		2.1	0.45
iGx308I			2.44	0.34
iMx414I			1.1	0.91
YMR048W			1.41	0.87
YIL108W			1.31	0.81
YOR231W	MKK1		0.54	1.82
iBx362I			0.48	1.82
iLx391I			0.4	1.77
iBx428I			0.48	2.03
YIL043C	CBR1		0.72	1.33
iLx457I			0.97	0.54
iFx017I			0.64	1.46
iDx611I			3.4	0.25
YHR168W			0.5	2.01
YDR245W	MNN10		0.5	1.78
YNL191W			0.84	1.41
YMR049C			1.04	1.05
iPx046I			0.5	1.39
iLx123I			1.77	0.56
iHx200I			0.94	1.1
YIL109C	SEC24		1.39	0.87
iAx071I			1.74	0.63
YNR006W	VPS27		3.45	0.32
iGx577I			0.82	1.17
YAL043C-A			0.39	1.88
iOx089I			3.6	0.22
iKx166I			1.09	0.83
iGx243I			2.05	0.37
YNL258C			1.23	0.82
iGx309I			1.38	0.6
iMx415I			0.71	1.66
YNR007C	AUT1		4.09	0.27
YOR232W	MGE1		0.52	1.47
iBx363I			0.49	1.96
YDR180W	SCC2		1.23	0.58
iLx392I			0.59	1.54
iBx429I			0.98	1.24
YDL163W			0.51	1.62
YIL044C			1.82	0.53
iLx458I			0.81	1.18
iFx018I			0.54	1.77
iDx612I			1.01	1.12
YHR169W	DBP8		0.54	2.05
YNL192W	CHS1		0.65	1.38
YDL229W	SSB1		0.72	1.19
YOL150C			0.89	0.82
iPx047I			2.87	0.25
iLx124I			0.64	1.32
iHx201I			0.73	1.21
YJL001W	PRE3		1.87	0.5
iAx072I			1.59	0.59
YDR181C	SAS4		1.17	0.52
YDL164C	CDC9		0.69	1.38
iGx578I			3.53	0.29
iKx167I			3.5	0.34
iGx244I			0.63	1.32
iMx350I			1.76	0.5
YNL259C	ATX1		2.02	0.46
YJL002C	OST1		2.64	0.6
iMx416I			1.8	0.7
YOR233W	KIN4		1.99	0.4
iBx364I			0.61	1.77
iBx030I			1.05	1.03
iLx393I			2.16	0.4
iLx459I			0.93	0.99
iFx019I			0.73	1.55
iDx613I			1.01	0.88
YDR247W			1.23	0.96
YNL193W			0.45	2.28
iPx048I			0.49	1.57
iLx125I			0.47	1.72
iHx202I			0.82	1
YOR234C	RPL33B		2.01	0.47
iAx073I			1.93	0.48
YNR008W	LRO1		1.79	0.58
iGx579I			0.74	1.3
YDR248C			1.81	0.48
YNL194C			0.49	1.88
iKx168I			0.95	1.21
iGx245I			0.55	1.43
iMx351I			0.57	1.45
YIL045W	PIG2		1.89	0.71
iMx417I			0.71	1.48
YOL151W	GRE2		0.85	0.99
iOx600I			1.33	0.92
iBx365I			1.2	0.84
iLx394I			1.11	0.74
iBx031I			2.51	0.57
YDR182W	CDC1		1.16	0.93
YDL165W	CDC36		0.75	1.65
iLx060I			0.78	1.04
iDx614I			2.09	0.75
iPx049I			0.6	1.34
iLx126I			0.51	1.64
iHx203I			3.5	0.27
YJR020W			0.66	1.24
YJL003W			1.95	0.46
iAx074I			2.19	0.64
YNR009W			2.69	0.35
iGx180I			1.14	0.95
YDL166C			0.61	1.57
YDR249C			1.59	0.75
YNL195C			0.53	1.8
iKx169I			0.65	1.7
iGx246I			3.23	0.31
YER140W			0.51	1.76
iMx352I			0.49	1.73
YJR021C	REC107		0.89	1.35
YIL046W	MET30		0.64	1.68
YJL004C	SYS1		3.9	0.36
iMx418I			0.66	1.56
YPL110C			1.2	1.01
iOx601I			0.87	1.08
YOR235W	SNR17A		0.4	1.61
iBx366I			1.44	0.68
iLx395I			0.56	1.57
iBx032I			1.15	0.63
YDR183W			1.93	0.46
iLx061I			0.85	1.22
YIL047C	SYG1		2.55	0.47
iDx615I			0.63	1.62
YOL153C			0.98	1.08
iLx127I			0.54	1.61
iHx204I			0.93	0.87
iNx310I			1.04	0.84
iAx075I			1.4	0.45
YDR184C				0.74
iGx181I			1.85	0.57
YDL167C	NRP1		1.66	0.9
YNL196C	SLZ1		0.54	1.58
iGx247I			1.02	0.86
YER141W	COX15		1.08	1.06
iMx353I			0.72	1.54
YOR170W			2.32	0.38
iMx419I			0.6	1.75
iOx602I			1.6	0.89
YOR236W	DFR1		0.68	1.41
iBx367I			0.61	2.19
iLx396I			0.53	1.88
iDx550I			1.04	1.05
iBx033I			0.71	1.5
YER142C	MAG1		1.57	0.6
iLx062I			4.62	0.18
iDx616I			0.62	1.8
YOR171C	LCB4		1.52	0.71
iHx205I			1	1
iLx128I			0.61	1.29
iNx311I			0.57	1.49
YJR022W	LSM8		0.79	1.14
YJL005W	CYR1		1.62	0.36
iAx076I			1.56	0.47
YDR185C			0.77	1.22
YPL111W	CAR1		1.23	0.84
iGx182I			1.98	0.6
YNL197C	WHI3		0.63	1.66
iGx248I			0.94	1.09
iMx354I			1.02	0.95
YJR023C				0.63
YIL048W				0.33
iMx020I			3.53	0.29
YJL006C	CTK2		0.89	0.88
YOL154W			0.98	1.19
YPL112C			0.85	1.24
iOx603I			2.08	0.89
YOR237W	HES1		0.54	1.37
iBx368I			0.52	1.81
YEL060C	PRB1		0.51	1.59
iBx034I			0.45	1.54
iLx397I			0.37	1.94
iDx551I			0.76	1.81
YDL168W	SFA1		2.13	0.54
iLx063I			1.13	0.81
iHx140I			0.46	1.81
iDx617I			0.66	1.65
YOL155C			0.58	1.65
iHx206I			0.83	
iLx129I			1.08	0.81
iNx312I			0.72	1.36
iAx077I			1.39	0.62
YDR186C			0.67	0.93
iGx183I			3.7	0.28
YDL169C	UGX2		1.33	0.86
YNL198C			0.63	1.46
iGx249I			1.03	0.89
YER143W	DDI1		2.62	0.41
iMx355I			0.56	1.34
YJR024C			1.07	0.83
YIL049W	DFG10		0.5	2.33
iMx021I			0.7	1.38
YOR172W			0.64	1.64
YJL007C			1.31	0.77
YPR130C			0.83	1.13
YPL113C			0.82	1.46
iOx604I			0.87	1.72
YOR238W			0.62	1.76
iBx369I			0.64	1.49
YEL061C	CIN8		1.17	0.82
iLx398I			0.43	1.85
iDx552I			0.7	1.54
iBx035I			0.54	2.16
YER144C	UBP5		1.87	0.62
iLx064I			1.33	0.55
iHx141I			0.46	1.95
iDx618I			0.9	1.39
iHx207I			0.81	1.18
iNx313I			0.96	1.09
iAx078I			0.67	1.41
YDR187C			0.55	1.87
iGx184I			3.42	0.28
iMx290I			0.57	1.88
YNL199C	GCR2		0.54	1.58
YOL090W	MSH2		2.06	0.5
YJR025C	BNA1		0.98	1.01
iMx022I			0.53	1.75
YOR173W			1.1	0.92
YJL008C	CCT8		0.84	1.46
YPR131C	NAT3		0.83	1.31
YOL156W	HXT11		0.69	1.79
iOx605I			0.51	1.95
YOR239W			0.63	1.55
iLx399I			0.35	2
iDx553I			1.59	0.62
iBx036I			0.57	1.97
YER145C	FTR1		0.63	1.67
iLx065I			1.89	0.6
iHx142I			0.57	1.34
iDx619I			0.65	1.58
YOL157C			1.74	0.7
iHx208I			0.65	1.16
iNx314I			0.91	1.08
iAx079I			1.18	1.06
iGx185I			0.94	1.09
YPL114W			0.64	1.4
iMx291I			0.55	1.53
YEL062W	NPR2		1.75	0.69
YFL020C	PAU5		1.91	0.87
iMx357I			0.7	1.43
YOL091W	SPO21		0.61	1.54
iOx540I			1.51	0.74
iIx100I			0.44	1.86
YOR174W	MED4		2.83	0.33
YPL115C	BEM3		2.2	0.59
iOx606I			0.63	2.15
YEL063C	CAN1		0.9	0.94
iDx554I			2.27	0.52
iBx037I			2.75	0.41
YDR188W	CCT6		0.5	1.78
iLx066I			1.85	0.59
iHx143I			0.41	1.94
iDx220I			4.14	0.2
YOR175C			1.62	0.7
YOL158C				1.48
iHx209I			0.74	1.09
iNx315I			1.01	1.08
YJR026W			1.14	1.31
YJL009W			0.86	1.17
YPR132W	RPS23B		1.43	0.78
iGx186I			0.39	2.46
YER080W			0.66	1.8
iMx292I			4.24	0.23
iMx358I			2.6	0.32
YER146W	LSM5		0.66	1.44
YOL092W			0.63	1.91
YPL050C	MNN9		1.29	0.97
iOx541I			0.55	1.82
iMx024I			0.39	1.99
iIx101I			0.72	1.09
YPR133C			1.61	0.57
iOx607I			0.94	1.7
YEL064C			2.09	0.39
iDx555I			1.84	0.89
iBx038I			0.56	1.72
YDR189W	SLY1		2.75	0.35
YER147C			0.69	1.72
iLx067I			3.1	0.27
iHx144I			0.66	1.19
iDx221I			0.92	1.06
iNx250I			0.84	1.39
YFL021W	GAT1		1.36	0.77
iNx316I			1.18	0.64
YJR027W			1.86	0.81
YLR210W	CLB4		2.18	0.51
iGx187I				2.16
YPL116W	HOS3		2.4	0.45
iMx293I			1.05	1.01
YER081W	SER3		1.73	0.69
YFL022C	FRS2		2.66	0.31
iMx359I			1.59	0.78
YKL170W	MRPL38		3.06	0.32
YOL093W			0.5	2.07
iIx102I			0.93	1.73
iOx542I			3.27	0.35
iMx025I			1.93	0.48
